Raw Data 		Experiment - Edward qPCR Txn Inhibitors HS 2018-06-15 plate 2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	232450	59.92	0.35
A1	Sample 1	2	2	2	271201	59.84	0.41
A1	Sample 1	2	2	3	310017	59.83	0.41
A1	Sample 1	2	2	4	348550	59.85	0.35
A1	Sample 1	2	2	5	387350	59.84	0.41
A1	Sample 1	2	2	6	426117	59.83	0.53
A1	Sample 1	2	2	7	464884	59.82	0.53
A1	Sample 1	2	2	8	503667	59.81	0.35
A1	Sample 1	2	2	9	542367	59.83	0.35
A1	Sample 1	2	2	10	581150	59.82	0.29
A1	Sample 1	2	2	11	619934	59.82	0.41
A1	Sample 1	2	2	12	658750	59.82	0.47
A1	Sample 1	2	2	13	697550	59.83	0.35
A1	Sample 1	2	2	14	736317	59.83	0.65
A1	Sample 1	2	2	15	774934	59.83	0.65
A1	Sample 1	2	2	16	813717	59.83	0.94
A1	Sample 1	2	2	17	852350	59.83	1.24
A1	Sample 1	2	2	18	891150	59.82	1.59
A1	Sample 1	2	2	19	929900	59.82	2.35
A1	Sample 1	2	2	20	968750	59.81	2.88
A1	Sample 1	2	2	21	1007534	59.81	3.35
A1	Sample 1	2	2	22	1046317	59.81	3.64
A1	Sample 1	2	2	23	1085017	59.81	4.11
A1	Sample 1	2	2	24	1123734	59.82	4.52
A1	Sample 1	2	2	25	1162434	59.82	4.70
A1	Sample 1	2	2	26	1201250	59.83	4.88
A1	Sample 1	2	2	27	1240050	59.83	5.05
A1	Sample 1	2	2	28	1278850	59.82	5.35
A1	Sample 1	2	2	29	1317600	59.82	5.35
A1	Sample 1	2	2	30	1356434	59.84	5.58
A1	Sample 1	2	2	31	1395217	59.81	5.58
A1	Sample 1	2	2	32	1434017	59.84	5.64
A1	Sample 1	2	2	33	1472800	59.84	5.76
A1	Sample 1	2	2	34	1511517	59.81	5.93
A1	Sample 1	2	2	35	1550217	59.82	5.93
A1	Sample 1	2	2	36	1589034	59.82	6.05
A1	Sample 1	2	2	37	1627817	59.82	6.18
A1	Sample 1	2	2	38	1666534	59.82	6.17
A1	Sample 1	2	2	39	1705300	59.85	5.95
A1	Sample 1	2	2	40	1744017	59.84	6.42
A1	Sample 1	3	1	1	1751617	59.93	6.33
A1	Sample 1	3	1	1	1752201	59.83	6.35
A1	Sample 1	3	1	1	1752817	59.69	6.38
A1	Sample 1	3	1	1	1753434	59.69	6.40
A1	Sample 1	3	1	1	1754050	59.91	6.40
A1	Sample 1	3	1	1	1754667	60.22	6.41
A1	Sample 1	3	1	1	1755267	60.55	6.38
A1	Sample 1	3	1	1	1755884	60.89	6.37
A1	Sample 1	3	1	1	1756500	61.13	6.31
A1	Sample 1	3	1	1	1757117	61.37	6.30
A1	Sample 1	3	1	1	1757734	61.58	6.26
A1	Sample 1	3	1	1	1758350	61.84	6.24
A1	Sample 1	3	1	1	1758967	62.05	6.19
A1	Sample 1	3	1	1	1759584	62.24	6.17
A1	Sample 1	3	1	1	1760184	62.45	6.15
A1	Sample 1	3	1	1	1760784	62.68	6.11
A1	Sample 1	3	1	1	1761417	62.9	6.05
A1	Sample 1	3	1	1	1762034	63.1	6.02
A1	Sample 1	3	1	1	1762650	63.31	6.00
A1	Sample 1	3	1	1	1763250	63.52	5.98
A1	Sample 1	3	1	1	1763900	63.74	5.93
A1	Sample 1	3	1	1	1764500	63.92	5.89
A1	Sample 1	3	1	1	1765117	64.13	5.87
A1	Sample 1	3	1	1	1765734	64.34	5.82
A1	Sample 1	3	1	1	1766350	64.54	5.79
A1	Sample 1	3	1	1	1767000	64.75	5.75
A1	Sample 1	3	1	1	1767600	64.93	5.71
A1	Sample 1	3	1	1	1768217	65.17	5.66
A1	Sample 1	3	1	1	1768850	65.37	5.65
A1	Sample 1	3	1	1	1769467	65.59	5.57
A1	Sample 1	3	1	1	1770067	65.75	5.55
A1	Sample 1	3	1	1	1770650	65.94	5.52
A1	Sample 1	3	1	1	1771250	66.11	5.46
A1	Sample 1	3	1	1	1771867	66.36	5.43
A1	Sample 1	3	1	1	1772484	66.53	5.39
A1	Sample 1	3	1	1	1773100	66.72	5.36
A1	Sample 1	3	1	1	1773700	66.94	5.35
A1	Sample 1	3	1	1	1774317	67.14	5.30
A1	Sample 1	3	1	1	1774934	67.35	5.29
A1	Sample 1	3	1	1	1775550	67.52	5.26
A1	Sample 1	3	1	1	1776150	67.73	5.23
A1	Sample 1	3	1	1	1776767	67.9	5.23
A1	Sample 1	3	1	1	1777384	68.14	5.20
A1	Sample 1	3	1	1	1778000	68.37	5.17
A1	Sample 1	3	1	1	1778634	68.52	5.18
A1	Sample 1	3	1	1	1779250	68.71	5.17
A1	Sample 1	3	1	1	1779850	68.92	5.15
A1	Sample 1	3	1	1	1780467	69.13	5.14
A1	Sample 1	3	1	1	1781084	69.34	5.13
A1	Sample 1	3	1	1	1781684	69.48	5.12
A1	Sample 1	3	1	1	1782300	69.74	5.08
A1	Sample 1	3	1	1	1782917	69.94	5.06
A1	Sample 1	3	1	1	1783534	70.11	5.02
A1	Sample 1	3	1	1	1784150	70.31	4.99
A1	Sample 1	3	1	1	1784784	70.49	4.95
A1	Sample 1	3	1	1	1785400	70.69	4.93
A1	Sample 1	3	1	1	1786017	70.92	4.90
A1	Sample 1	3	1	1	1786634	71.12	4.84
A1	Sample 1	3	1	1	1787234	71.3	4.82
A1	Sample 1	3	1	1	1787850	71.5	4.79
A1	Sample 1	3	1	1	1788467	71.72	4.72
A1	Sample 1	3	1	1	1789067	71.91	4.68
A1	Sample 1	3	1	1	1789684	72.1	4.63
A1	Sample 1	3	1	1	1790317	72.31	4.59
A1	Sample 1	3	1	1	1790917	72.51	4.54
A1	Sample 1	3	1	1	1791550	72.71	4.51
A1	Sample 1	3	1	1	1792167	72.91	4.44
A1	Sample 1	3	1	1	1792784	73.08	4.38
A1	Sample 1	3	1	1	1793400	73.28	4.33
A1	Sample 1	3	1	1	1794017	73.51	4.28
A1	Sample 1	3	1	1	1794617	73.72	4.20
A1	Sample 1	3	1	1	1795267	73.89	4.13
A1	Sample 1	3	1	1	1795884	74.09	4.11
A1	Sample 1	3	1	1	1796484	74.29	4.00
A1	Sample 1	3	1	1	1797084	74.5	3.91
A1	Sample 1	3	1	1	1797700	74.72	3.88
A1	Sample 1	3	1	1	1798300	74.85	3.78
A1	Sample 1	3	1	1	1798900	75.04	3.72
A1	Sample 1	3	1	1	1799534	75.3	3.66
A1	Sample 1	3	1	1	1800134	75.5	3.60
A1	Sample 1	3	1	1	1800767	75.67	3.55
A1	Sample 1	3	1	1	1801367	75.87	3.49
A1	Sample 1	3	1	1	1802000	76.07	3.42
A1	Sample 1	3	1	1	1802617	76.31	3.38
A1	Sample 1	3	1	1	1803234	76.47	3.30
A1	Sample 1	3	1	1	1803850	76.65	3.25
A1	Sample 1	3	1	1	1804450	76.88	3.19
A1	Sample 1	3	1	1	1805050	77.08	3.15
A1	Sample 1	3	1	1	1805650	77.28	3.09
A1	Sample 1	3	1	1	1806284	77.46	3.05
A1	Sample 1	3	1	1	1806867	77.65	2.99
A1	Sample 1	3	1	1	1807500	77.86	2.93
A1	Sample 1	3	1	1	1808100	78.05	2.86
A1	Sample 1	3	1	1	1808717	78.29	2.83
A1	Sample 1	3	1	1	1809334	78.44	2.77
A1	Sample 1	3	1	1	1809967	78.64	2.66
A1	Sample 1	3	1	1	1810584	78.84	2.63
A1	Sample 1	3	1	1	1811201	79.07	2.58
A1	Sample 1	3	1	1	1811834	79.25	2.50
A1	Sample 1	3	1	1	1812450	79.44	2.43
A1	Sample 1	3	1	1	1813067	79.65	2.37
A1	Sample 1	3	1	1	1813650	79.85	2.32
A1	Sample 1	3	1	1	1814250	80.06	2.24
A1	Sample 1	3	1	1	1814834	80.23	2.16
A1	Sample 1	3	1	1	1815450	80.43	2.07
A1	Sample 1	3	1	1	1816050	80.63	1.96
A1	Sample 1	3	1	1	1816667	80.83	1.81
A1	Sample 1	3	1	1	1817284	81	1.60
A1	Sample 1	3	1	1	1817900	81.21	1.31
A1	Sample 1	3	1	1	1818500	81.45	0.99
A1	Sample 1	3	1	1	1819117	81.65	0.66
A1	Sample 1	3	1	1	1819717	81.85	0.44
A1	Sample 1	3	1	1	1820317	82	0.35
A1	Sample 1	3	1	1	1820950	82.2	0.31
A1	Sample 1	3	1	1	1821550	82.4	0.28
A1	Sample 1	3	1	1	1822184	82.61	0.28
A1	Sample 1	3	1	1	1822784	82.81	0.27
A1	Sample 1	3	1	1	1823400	82.99	0.26
A1	Sample 1	3	1	1	1824000	83.21	0.27
A1	Sample 1	3	1	1	1824634	83.41	0.25
A1	Sample 1	3	1	1	1825234	83.61	0.26
A1	Sample 1	3	1	1	1825850	83.77	0.26
A1	Sample 1	3	1	1	1826450	83.96	0.26
A1	Sample 1	3	1	1	1827067	84.17	0.26
A1	Sample 1	3	1	1	1827667	84.41	0.25
A1	Sample 1	3	1	1	1828284	84.58	0.25
A1	Sample 1	3	1	1	1828884	84.74	0.24
A1	Sample 1	3	1	1	1829484	84.93	0.24
A1	Sample 1	3	1	1	1830100	85.18	0.25
A1	Sample 1	3	1	1	1830700	85.38	0.25
A1	Sample 1	3	1	1	1831317	85.59	0.25
A1	Sample 1	3	1	1	1831934	85.74	0.26
A1	Sample 1	3	1	1	1832550	85.95	0.24
A1	Sample 1	3	1	1	1833117	86.15	0.25
A1	Sample 1	3	1	1	1833734	86.37	0.23
A1	Sample 1	3	1	1	1834350	86.52	0.24
A1	Sample 1	3	1	1	1835000	86.73	0.25
A1	Sample 1	3	1	1	1835600	86.96	0.25
A1	Sample 1	3	1	1	1836234	87.17	0.24
A1	Sample 1	3	1	1	1836850	87.35	0.24
A1	Sample 1	3	1	1	1837467	87.53	0.24
A1	Sample 1	3	1	1	1838084	87.75	0.25
A1	Sample 1	3	1	1	1838667	87.95	0.24
A1	Sample 1	3	1	1	1839267	88.14	0.24
A1	Sample 1	3	1	1	1839867	88.34	0.25
A1	Sample 1	3	1	1	1840484	88.5	0.24
A1	Sample 1	3	1	1	1841117	88.75	0.25
A1	Sample 1	3	1	1	1841717	88.97	0.24
A1	Sample 1	3	1	1	1842334	89.12	0.24
A1	Sample 1	3	1	1	1842950	89.33	0.24
A1	Sample 1	3	1	1	1843567	89.51	0.23
A1	Sample 1	3	1	1	1844217	89.76	0.25
A1	Sample 1	3	1	1	1844817	89.94	0.24
A1	Sample 1	3	1	1	1845450	90.13	0.24
A1	Sample 1	3	1	1	1846050	90.32	0.24
A1	Sample 1	3	1	1	1846667	90.49	0.24
A1	Sample 1	3	1	1	1847284	90.72	0.23
A1	Sample 1	3	1	1	1847900	90.96	0.24
A1	Sample 1	3	1	1	1848484	91.12	0.23
A1	Sample 1	3	1	1	1849100	91.27	0.24
A1	Sample 1	3	1	1	1849700	91.52	0.24
A1	Sample 1	3	1	1	1850367	91.74	0.23
A1	Sample 1	3	1	1	1850934	91.93	0.22
A1	Sample 1	3	1	1	1851534	92.11	0.23
A1	Sample 1	3	1	1	1852167	92.28	0.23
A1	Sample 1	3	1	1	1852767	92.49	0.22
A1	Sample 1	3	1	1	1853384	92.68	0.23
A1	Sample 1	3	1	1	1854000	92.91	0.24
A1	Sample 1	3	1	1	1854617	93.12	0.22
A1	Sample 1	3	1	1	1855234	93.29	0.23
A1	Sample 1	3	1	1	1855867	93.47	0.23
A1	Sample 1	3	1	1	1856484	93.7	0.22
A1	Sample 1	3	1	1	1857100	93.92	0.23
A1	Sample 1	3	1	1	1857717	94.11	0.23
A1	Sample 1	3	1	1	1858350	94.3	0.23
A1	Sample 1	3	1	1	1858950	94.5	0.22
A1	Sample 1	3	1	1	1859534	94.69	0.22
A1	Sample 1	3	1	1	1860134	94.88	0.22
A2	Sample 2	2	2	1	232450	59.92	0.46
A2	Sample 2	2	2	2	271201	59.84	0.63
A2	Sample 2	2	2	3	310017	59.83	0.63
A2	Sample 2	2	2	4	348550	59.85	0.69
A2	Sample 2	2	2	5	387350	59.84	0.57
A2	Sample 2	2	2	6	426117	59.83	0.69
A2	Sample 2	2	2	7	464884	59.82	0.57
A2	Sample 2	2	2	8	503667	59.81	0.52
A2	Sample 2	2	2	9	542367	59.83	0.57
A2	Sample 2	2	2	10	581150	59.82	0.57
A2	Sample 2	2	2	11	619934	59.82	0.69
A2	Sample 2	2	2	12	658750	59.82	0.69
A2	Sample 2	2	2	13	697550	59.83	0.69
A2	Sample 2	2	2	14	736317	59.83	0.86
A2	Sample 2	2	2	15	774934	59.83	1.03
A2	Sample 2	2	2	16	813717	59.83	1.49
A2	Sample 2	2	2	17	852350	59.83	1.89
A2	Sample 2	2	2	18	891150	59.82	2.35
A2	Sample 2	2	2	19	929900	59.82	2.98
A2	Sample 2	2	2	20	968750	59.81	3.44
A2	Sample 2	2	2	21	1007534	59.81	3.78
A2	Sample 2	2	2	22	1046317	59.81	4.06
A2	Sample 2	2	2	23	1085017	59.81	4.34
A2	Sample 2	2	2	24	1123734	59.82	4.86
A2	Sample 2	2	2	25	1162434	59.82	5.14
A2	Sample 2	2	2	26	1201250	59.83	5.10
A2	Sample 2	2	2	27	1240050	59.83	5.38
A2	Sample 2	2	2	28	1278850	59.82	5.49
A2	Sample 2	2	2	29	1317600	59.82	5.72
A2	Sample 2	2	2	30	1356434	59.84	6.01
A2	Sample 2	2	2	31	1395217	59.81	6.01
A2	Sample 2	2	2	32	1434017	59.84	6.07
A2	Sample 2	2	2	33	1472800	59.84	6.18
A2	Sample 2	2	2	34	1511517	59.81	6.29
A2	Sample 2	2	2	35	1550217	59.82	6.41
A2	Sample 2	2	2	36	1589034	59.82	6.24
A2	Sample 2	2	2	37	1627817	59.82	6.53
A2	Sample 2	2	2	38	1666534	59.82	6.46
A2	Sample 2	2	2	39	1705300	59.85	6.42
A2	Sample 2	2	2	40	1744017	59.84	6.65
A2	Sample 2	3	1	1	1751617	59.93	6.71
A2	Sample 2	3	1	1	1752201	59.83	6.71
A2	Sample 2	3	1	1	1752817	59.69	6.75
A2	Sample 2	3	1	1	1753434	59.69	6.76
A2	Sample 2	3	1	1	1754050	59.91	6.79
A2	Sample 2	3	1	1	1754667	60.22	6.76
A2	Sample 2	3	1	1	1755267	60.55	6.75
A2	Sample 2	3	1	1	1755884	60.89	6.74
A2	Sample 2	3	1	1	1756500	61.13	6.68
A2	Sample 2	3	1	1	1757117	61.37	6.66
A2	Sample 2	3	1	1	1757734	61.58	6.62
A2	Sample 2	3	1	1	1758350	61.84	6.60
A2	Sample 2	3	1	1	1758967	62.05	6.56
A2	Sample 2	3	1	1	1759584	62.24	6.55
A2	Sample 2	3	1	1	1760184	62.45	6.51
A2	Sample 2	3	1	1	1760784	62.68	6.49
A2	Sample 2	3	1	1	1761417	62.9	6.45
